Categories,Instruments,Available Triggers,Available feedbackOptions
selection,point selection,Hover Click,Highlighting/Tooltip/Dim
,group selection,Brush Brush-X Brush-Y,Highlighting/Dim
,axis selection,Brush Brush-X Brush-Y,Highlighting/Dim
,link selection,Hover Click Brush,Highlighting/Dim/Intersection or Rescale
Rearrangement,moving,Drag,callback function
,reordering,Drag,callback function
Navigation,panning,Pan,direction
,zooming,Zoom,direction
VisualAid,Lens,Hover,Radius/ExcentricLabeling/count/HighlightFiltered
,helperLine,Hover,direction/value/intersectedData/HighlightFiltered
,,,
